77.100	18.600	59.900	4.500	2.500	75.600	74.500	26.000	35.503	0.603
67.200	17.100	70.700	12.300	9.500	1.900	93.400	33.000	54.758	0.237
63.500	7.900	77.000	1.000	7.400	16.000	85.500	11.700	37.090	0.553
21.000	44.000	55.600	45.500	6.400	3.300	20.500	4.900	5.574	0.446
24.200	32.400	81.900	35.500	12.300	17.500	10.600	5.200	9.558	0.513
66.100	43.600	69.150	58.000	38.700	18.000	63.300	53.400	58.444	1.068
20.500	6.200	74.700	11.400	1.900	23.700	10.500	5.400	28.627	0.570
30.900	22.000	48.500	20.200	1.400	6.000	17.800	1.700	25.431	1.074
31.500	3.500	75.200	37.300	10.500	23.000	48.700	14.000	61.765	0.772
37.500	44.500	91.200	39.200	11.400	1.700	78.800	4.300	3.963	1.588
13.200	15.600	64.800	14.300	1.300	4.000	12.600	3.500	19.357	0.343
68.900	59.300	70.900	73.500	21.500	34.500	69.700	23.800	8.063	0.296
45.500	8.200	85.800	11.900	1.100	5.600	50.900	7.900	63.809	0.628
52.400	32.900	61.700	40.900	21.900	11.200	85.600	8.800	75.875	0.371
25.200	42.300	73.600	67.700	20.000	33.400	86.800	6.400	2.799	0.237
48.600	23.200	53.200	37.900	15.700	10.800	24.300	10.000	49.246	1.083
50.400	18.700	71.200	10.200	2.100	10.500	22.700	6.000	37.832	1.091
57.200	45.300	72.600	26.200	10.300	20.900	28.200	12.500	17.612	1.453
57.500	35.500	74.800	12.600	11.200	33.700	21.200	7.800	15.248	0.464
66.200	22.900	90.700	8.700	11.100	41.700	19.900	17.400	32.006	0.612
58.500	9.900	48.300	11.800	8.800	10.500	13.700	1.800	27.456	1.124
63.900	33.400	61.100	13.700	9.900	12.500	18.400	11.100	35.375	1.880
26.300	31.400	58.500	54.200	17.300	16.700	37.200	14.300	1.801	0.351
48.900	41.900	73.900	56.400	29.700	9.400	69.900	27.500	30.207	1.097
51.200	43.200	73.900	17.000	10.600	11.300	26.700	5.600	33.449	0.559
26.100	50.800	53.800	68.100	7.300	1.600	70.700	8.200	20.252	0.276
46.900	30.800	74.000	43.500	19.800	22.100	37.500	35.800	10.400	0.588
18.600	20.300	69.300	35.500	7.500	9.300	60.300	9.100	9.426	0.238
28.200	18.600	77.800	10.200	8.900	10.000	18.300	2.200	66.305	0.719
64.600	6.500	56.400	2.300	7.300	14.400	24.500	29.500	44.399	0.418
